Processing: C:\Users\Yong\Downloads\Learnova A Levels\AL-BIOLOGY.pdf
Subject: AL-Biology  Form: AS-A2  Pages: 10-658 of 658
------------------------------------------------------------
  p 10/658  SKIP  Page contains only introductory and promotional text, not A-Level biology content.
  p 11/658  SKIP  Page contains only introductory material about the coursebook series, not biological content.
  p 12/658  SKIP  Page contains only promotional description of coursebook resources, no teachable biology content.
  p 13/658  SKIP  Page is a 'How to use this book' guide, not biological content.
  p 14/658  SKIP  Page contains only book features and instructions, no biology content.
  p 15/658  SKIP  Page contains only learning intentions, no explanatory content.
  p 16/658  SAVED  Chapter 1: Cell Structure | 
  p 17/658  SAVED  Chapter 1: Cell structure | 1.1 Cells are the basic units of life
  p 18/658  SAVED  Chapter 1: Cell Biology | Cell biology and microscopy
  p 19/658  SAVED  Chapter 1: Cell structure | Microscopy
  p 20/658  SAVED  Chapter 1: Cell Structure | Generalised Plant Cell
  p 21/658  SAVED  Chapter 1: Cell structure | The nucleus
  p 22/658  SAVED  Chapter 13: (Section 13.2, Structure and function of | 
  p 23/658  SAVED  Chapter 13: Cell Structure | Section 13.2: Structure and function of cells
  p 24/658  SAVED  Chapter 7: Practical Skills in Biology | Biological Drawing
  p 25/658  SAVED  Chapter 1: Cell structure | 1.4 Measuring size and calculating magnification
  p 26/658  SAVED  Chapter 7: Microscopy techniques | 
  p 27/658  SAVED  Chapter 1: Cell Structure | Magnification and Scale Bars
  p 28/658  SAVED  Chapter 1: Cell Structure | Microscopy: Magnification and Resolution
  p 29/658  SAVED  Chapter 1: Cell Structure | Microscopy and Resolution
  p 30/658  SAVED  Chapter 7: Cell Structure and Microscopy | Electron Microscopy
  p 31/658  SAVED  Chapter 1: Cell Structure | 1.6 Plant and animal cells as seen with an electron microscope
  p 32/658  SAVED  Chapter 1: Cell Structure | Observing cells under the electron microscope
  p 33/658  SAVED  Chapter 1: Cell structure | Ultrastructure of animal cells
  p 34/658  SAVED  Chapter 1: Cell Structure | Ultrastructure of plant cells
  p 35/658  SAVED  Chapter 1: Cell structure | Microvilli
  p 36/658  SAVED  Chapter 1: Cell Structure | The nucleus
  p 37/658  SAVED  Chapter 7: Cell Structure | Endoplasmic Reticulum and Ribosomes
  p 38/658  SAVED  Chapter 7: Cell Structure and Function | Golgi apparatus and lysosomes
  p 39/658  SAVED  Chapter 4: Cell Membranes and Transport | 4.5 Movement of substances across membranes
  p 40/658  SAVED  Chapter 1: Cell Structure | Microtubules
  p 41/658  SAVED  Chapter 12: Cell Structure | 12.2 Microtubules and Centrioles
  p 42/658  SAVED  Chapter 12: Cell Structure | Cilia and flagella
  p 43/658  SAVED  Chapter 12: Cell structure | Chloroplasts
  p 44/658  SAVED  Chapter 12: (Section 12.2) | Cell walls
  p 45/658  SAVED  Chapter 12: (Section 12.2) | Plant vacuoles and their functions
  p 46/658  SAVED  Chapter 1: Cell Structure | 1.7 Bacteria
  p 47/658  SAVED  Chapter 12: Cell structure | Section 12.2: Bacterial cell structure
  p 48/658  SAVED  Chapter 12: Section 12.2 | Section 12.2
  p 49/658  SAVED  Chapter 1: Cell Structure | Viruses
  p 50/658  SAVED  Chapter 1: and learnt a lot | Summary
  p 51/658  SAVED  Chapter 1: Cell Structure | Review Questions
  p 52/658  SKIP  Page contains only a diagram of palisade cells with labels, no explanatory text or teachable content.
  p 53/658  SKIP  Page contains only a review activity table with no explanatory content; not suitable for teaching.
  p 54/658  SAVED  Chapter 1: Cell Structure | Calculating actual size from micrographs
  p 55/658  SAVED  Chapter 1: Cell structure | Protein secretion and organelle function
  p 56/658  SKIP  Page is a self-evaluation checklist, no teachable content.
  p 57/658  SKIP  Page contains only learning intentions, no content to structure.
  p 58/658  SAVED  Chapter 2: Biological Molecules | Covalent Bonding and Molecular Models
  p 59/658  SAVED  Chapter 2: Biological Molecules | 2.2 The building blocks
  p 60/658  SAVED  Chapter 2: Biological Molecules | Polymers and Monomers
  p 61/658  SAVED  Chapter 2: Biological Molecules | Monosaccharides: ring structure and isomers
  p 62/658  SAVED  Chapter 2: Biological Molecules | Disaccharides and the glycosidic bond
  p 63/658  SAVED  Chapter 2: Biological molecules | Testing for the presence of sugars
  p 64/658  SAVED  Chapter 2: Biological Molecules | Polysaccharides
  p 65/658  SAVED  Chapter 2: Biological molecules | Polysaccharides: Storage polysaccharides
  p 66/658  SAVED  Chapter 2: Biological molecules | Cellulose
  p 67/658  SAVED  Chapter 2: Biological molecules | 
  p 68/658  SAVED  Chapter 2: Biological Molecules | Lipids and Esters
  p 69/658  SAVED  Chapter 2: Biological molecules | Lipids
  p 70/658  SAVED  Chapter 2: Biological Molecules | Functions of triglycerides
  p 71/658  SAVED  Chapter 2: Biological molecules | 2.6 Proteins
  p 72/658  SAVED  Chapter 4: Biological Molecules | Amino acids and peptide bonds
  p 73/658  SAVED  Chapter 2: Biological molecules | Secondary structure of proteins
  p 74/658  SAVED  Chapter 4: Proteins | Tertiary structure of proteins
  p 75/658  SAVED  Chapter 4: Biological molecules | Protein structure: bonds and interactions
  p 76/658  SAVED  Chapter 4: Proteins | Globular and fibrous proteins
  p 77/658  SAVED  Chapter 4: Biological Molecules | Globular and Fibrous Proteins
  p 78/658  SAVED  Chapter 4: Proteins and Enzymes | Collagen Structure
  p 79/658  SAVED  Chapter 4: Biological Molecules | Collagen
  p 80/658  SAVED  Chapter 4: Biological Molecules | 2.7 Water
  p 81/658  SAVED  Chapter 2: Biological molecules | 
  p 82/658  SAVED  Chapter 2: Biological Molecules | Summary of Macromolecule Formation and Structure
  p 83/658  SAVED  Chapter 2: Biological Molecules | Globular and Fibrous Proteins; Properties of Water
  p 84/658  SAVED  Chapter 2: Biological Molecules | 
  p 85/658  SAVED  Chapter 2: Biological molecules | Carbohydrates: Monosaccharides and Disaccharides
  p 86/658  SAVED  Chapter 2: Biological Molecules | Protein structure and polymer properties
  p 87/658  SKIP  Page contains only review questions and a self-evaluation checklist, no new explanatory content.
  p 88/658  SKIP  Page contains only learning intentions/objectives for the chapter, not teachable biological content.
  p 89/658  SAVED  Chapter 3: Enzymes | 
  p 90/658  SAVED  Chapter 3: Enzymes | Enzyme action mechanisms
  p 91/658  SAVED  Chapter 3: Enzymes | Mechanism of enzyme action
  p 92/658  SAVED  Chapter 3: Enzymes | Activation energy and enzyme catalysis
  p 93/658  SAVED  Chapter 3: Enzymes | 3.3 Investigating the progress of an enzyme-catalysed reaction
  p 94/658  SAVED  Chapter 3: Enzymes | Practical: Measuring the Rate of Substrate Disappearance
  p 95/658  SAVED  Chapter 3: Enzymes | 3.4 Factors that affect enzyme action
  p 96/658  SAVED  Chapter 3: Enzymes | Effect of pH on Enzyme Activity
  p 97/658  SAVED  Chapter 3: Enzymes | Effect of enzyme concentration on reaction rate
  p 98/658  SAVED  Chapter 3: Enzymes | 
  p 99/658  SAVED  Chapter 3: Enzymes | Michaelis-Menten Constant (Km)
  p100/658  SAVED  Chapter 3: Enzymes | Enzyme Inhibition
  p101/658  SAVED  Chapter 3: Enzymes | Control of metabolic reactions
  p102/658  SAVED  Chapter 3: Enzymes | Immobilising enzymes
  p103/658  SAVED  Chapter 3: Enzymes | Summary
  p104/658  SKIP  Page contains only exam-style questions without explanatory content.
  p105/658  SAVED  Chapter 3: Enzymes | Factors Affecting Enzyme Activity
  p106/658  SAVED  Chapter 3: Enzymes | 
  p107/658  SAVED  Chapter 3: Enzymes | 
  p108/658  SAVED  Chapter 3: Enzymes | Practical: Investigating the effect of temperature on amylase activity
  p109/658  SAVED  Chapter 3: Enzymes | 3.6 The effects of reversible inhibitors
  p110/658  SKIP  Page contains only learning objectives/headings for Chapter 4, no teachable content.
  p111/658  SAVED  Chapter 14: Cell membranes and transport | 14.4 Liposomes as delivery bags
  p112/658  SAVED  Chapter 4: Cell Membranes | 4.2 Structure of membranes
  p113/658  SAVED  Chapter 4: Cell membranes and transport | The fluid mosaic model
  p114/658  SAVED  Chapter 4: Cell membranes | Membrane structure and the fluid mosaic model
  p115/658  SAVED  Chapter 4: Cell membranes and transport | 4.3 Roles of the molecules found in membranes
  p116/658  SAVED  Chapter 4: Cell membranes and transport | 4.4 Cell signalling
  p117/658  SAVED  Chapter 14: Cell Membranes and Transport | Cell signalling and second messengers
  p118/658  SAVED  Chapter 14: Cell Surface Membranes | 4.5 Movement of substances across cell surface membranes
  p119/658  SAVED  Chapter 14: Cell Membranes and Transport | Diffusion
  p120/658  SAVED  Chapter 14: Transport across cell membranes | Factors affecting diffusion
  p121/658  SAVED  Chapter 14: Cell membranes and transport | 4 Cell membranes and transport
  p122/658  SAVED  Chapter 14: Nervous Communication | Osmosis
  p123/658  SAVED  Chapter 14: Cell Membranes and Transport | Osmosis and Water Potential
  p124/658  SAVED  Chapter 14: (see Figure 14.26) | Water potential and osmosis in animal cells
  p125/658  SAVED  Chapter 14: Cell Membranes and Transport | Osmosis in plant cells
  p126/658  SAVED  Chapter 14: Transport in Plants | Water Potential and Plasmolysis
  p127/658  SAVED  Chapter 14: Cell Membranes and Transport | Active Transport
  p128/658  SAVED  Chapter 15: Nervous Communication | 15.2 Nervous communication
  p129/658  SAVED  Chapter 4: Cell Membranes and Transport | Bulk Transport: Endocytosis and Exocytosis
  p130/658  SKIP  Page contains only a reflection exercise linking terms from previous chapters; no new teachable content.
  p131/658  SAVED  Chapter 4: Cell membranes and transport | Summary
  p132/658  SKIP  Page contains only exam-style review questions, no explanatory content.
  p133/658  SAVED  Chapter 4: Cell membranes and transport | Membrane proteins and transport mechanisms
