Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Chemistry\Chemistry\Cambridge International AS _ A Level Chemistry Coursebook with Digital Access (2 Years) - Cambridge University Press (2020).pdf
Subject: AL-Chemistry  Form: AS-A2  Pages: 10-886 of 886
------------------------------------------------------------
  p 10/886  SKIP  This is a 'How to use this book' page with no teachable chemistry content.
  p 11/886  SKIP  Page describes coursebook features and user guidance, not chemistry content.
  p 12/886  SKIP  (only 19 words)
  p 13/886  SKIP  Page contains introductory text about the book structure and aims, not teachable chemistry content.
  p 14/886  SKIP  Page contains only learning intentions and image placeholders, no explanatory content or examples to structure into a teaching unit.
  p 15/886  SKIP  Page contains only student activities and a prompt, no teachable concept explanation.
  p 16/886  SKIP  This page contains introductory and discussion content about nanotechnology, not specific atomic structure concepts or principles required for A-Level teaching.
  p 17/886  SAVED  Chapter 1: Atomic structure | 1.1 Elements and atoms
  p 18/886  SAVED  Chapter 1: Atomic structure | 1.2 Inside the atom
  p 19/886  SAVED  Chapter 1: Atomic structure | Subatomic particles
  p 20/886  SAVED  Chapter 1: Atomic structure | Subatomic particles and their properties
  p 21/886  SKIP  (only 15 words)
  p 22/886  SAVED  Chapter 1: Atomic structure | 1.3 Numbers of nucleons
  p 23/886  SAVED  Chapter 1: Atomic structure | 
  p 24/886  SAVED  Chapter 1: Atomic structure | Ions
  p 25/886  SAVED  Chapter 1: Atomic structure | 
  p 26/886  SKIP  Page contains only exam-style questions, not teachable content for a lesson unit.
  p 27/886  SKIP  Page contains only exam questions, no teachable content.
  p 28/886  SKIP  Page is a self-evaluation checklist, not teachable content.
  p 29/886  SKIP  Page contains only learning intentions, no detailed teaching content.
  p 30/886  SKIP  Page contains only learning objectives and review questions, no new concept explanation.
  p 31/886  SAVED  Chapter 2: Electrons in atoms | Electron Microscopes
  p 32/886  SAVED  Chapter 2: Electrons in atoms | 2.1 Simple electronic structure
  p 33/886  SKIP  (only 20 words)
  p 34/886  SAVED  Chapter 2: Electrons in atoms | 2.2 Evidence for electronic structure
  p 35/886  SAVED  Chapter 2: Electrons in atoms | Successive ionisation energies
  p 36/886  SAVED  Chapter 2: Electrons in atoms | Factors that influence ionisation energy
  p 37/886  SAVED  Chapter 2: Electrons in atoms | Successive ionisation energies
  p 38/886  SAVED  Chapter 2: Electrons in atoms | Successive ionisation energies
  p 39/886  SAVED  Chapter 2: Electrons in atoms | 2.3 Sub-shells and atomic orbitals
  p 40/886  SAVED  Chapter 2: Electrons in atoms | Orbital shapes and energy levels
  p 41/886  SAVED  Chapter 2: Electrons in atoms | Order of filling sub-shells
  p 42/886  SAVED  Chapter 2: Electrons in atoms | 2.4 Electronic configurations
  p 43/886  SAVED  Chapter 2: Electrons in atoms | Electronic configurations
  p 44/886  SAVED  Chapter 2: Electrons in atoms | Orbitals and the Periodic Table
  p 45/886  SAVED  Chapter 2: Electrons in atoms | Hund's rule, free radicals and electronic configuration of ions
  p 46/886  SAVED  Chapter 2: Electrons in atoms | 
  p 47/886  SAVED  Chapter 2: Electrons in atoms | 2.5 Periodic patterns of atomic and ionic radii
  p 48/886  SAVED  Chapter 2: Electrons in atoms | 2.6 Patterns in ionisation energies in the Periodic Table
  p 49/886  SAVED  Chapter 2: Electrons in atoms | Patterns in first ionisation energy across periods and down groups
  p 50/886  SKIP  Page contains only a figure reference and reflection questions; no new teachable content or explanations.
  p 51/886  SAVED  Chapter 2: Electrons in atoms | 
  p 52/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p 53/886  SKIP  Page contains only exam-style questions, not explanatory teaching content.
  p 54/886  SKIP  Page contains only exam-style questions without explanatory content.
  p 55/886  SAVED  Chapter 2: Electrons in atoms | Ionisation Energy
  p 56/886  SKIP  Page is a self-evaluation checklist with learning objectives, not instructional content.
  p 57/886  SKIP  Page contains only chapter learning intentions, no teachable content.
  p 58/886  SKIP  Page contains only learning objectives and pre-test questions, no teachable content.
  p 59/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Extraction of gold
  p 60/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Masses of atoms and molecules
  p 61/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Relative molecular mass and relative formula mass
  p 62/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 3.2 Hydrated and anhydrous compounds
  p 63/886  SKIP  (only 22 words)
  p 64/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 3.3 Accurate relative atomic masses
  p 65/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Determination of Ar from mass spectra
  p 66/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Mass spectrometry
  p 67/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Mass spectrometry
  p 68/886  SAVED  Chapter 3: Atoms, molecules and | Mass Spectrometry
  p 69/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Using the [M+1] peak
  p 70/886  SAVED  Chapter 3: Atoms, molecules and | Mass Spectrometry: Isotope Patterns for Chlorine and Bromine
  p 71/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Mass spectrometry and isotopic patterns
  p 72/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 3.4 Amount of substance
  p 73/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Moles and mass
  p 74/886  SAVED  Chapter 3: Atoms, molecules and moles | Mole and mass calculations
  p 75/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Calculating mass from amount of substance
  p 76/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 3.5 Mole calculations
  p 77/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Limiting and excess reactants
  p 78/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | The stoichiometry of a reaction
  p 79/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Percentage composition by mass
  p 80/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Percentage yield
  p 81/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Empirical formulae
  p 82/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | Empirical and molecular formulae
  p 83/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 
  p 84/886  SAVED  Chapter 3: Atoms, molecules and stoichiometry | 3.6 Chemical formulae and chemical equations
  p 85/886  SAVED  Chapter 3: Atoms, molecules and ions | Formulae of ions and ionic compounds
  p 86/886  SAVED  Chapter 3: Atoms, molecules and | Balancing chemical equations
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Chemistry, AS-A2, Chapter 3: Atoms, molecules and, Balancing Chemical Equations) already exists.","hint":null,"message":"duplic
  p 87/886  DB-ERR  Chapter 3: Atoms, molecules and | Balancing Chemical Equations
  p 88/886  SAVED  Chapter 3: Chemical Reactions and Stoichiometry | Using State Symbols
  p 89/886  SAVED  Chapter 8: Chemical Reactions | Balancing ionic equations
  p 90/886  SAVED  Chapter 8: Ionic Equations and Precipitation | Writing Ionic Equations
  p 91/886  SAVED  Chapter 8: Chemical Reactions and Equations | Writing Ionic Equations
  p 92/886  SAVED  Chapter 3: Moles and Equations | 3.7 Solutions and concentration
  p 93/886  SAVED  Chapter 8: Solutions and Concentrations | Calculating Mass of Solute from Concentration and Volume
  p 94/886  SAVED  Chapter 3: Amount of Substance and Volumetric Analysis | Acid-base titration
  p 95/886  SAVED  Chapter 8: Titration Calculations | Calculating solution concentration by titration
  p 96/886  SAVED  Chapter 8: Acids and Bases | Deducing stoichiometry by titration
  p 97/886  SAVED  Chapter 8: Stoichiometry and Titration | Determining Mole Ratios from Titration Data
  p 98/886  SAVED  Chapter 8: and Chapter 9) | Using the molar gas volume
  p 99/886  SAVED  Chapter 3: Gas Volumes and Stoichiometry | Gas volumes and stoichiometry
  p100/886  SAVED  Chapter 8: Stoichiometry and the Mole Concept | 
  p101/886  SAVED  Chapter 8: Atomic Structure and Chapter 9: Stoichiometry | 
  p102/886  SKIP  Page contains only exam-style questions, no conceptual teaching content.
  p103/886  SAVED  Chapter 8: Moles and Stoichiometry | Percentage Yield
  p104/886  SKIP  Page contains only practice questions, not teaching content.
  p105/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p106/886  SKIP  Page contains only a self-evaluation checklist with no teachable content.
  p107/886  SKIP  Page contains only learning objectives and no explanatory content.
  p108/886  SKIP  Page contains only learning objectives and review activities, no teachable content.
  p109/886  SAVED  Chapter 4: Chemical bonding | VSEPR Theory and Molecular Shapes
  p110/886  SAVED  Chapter 4: Chemical bonding | 4.1 Types of chemical bonding
  p111/886  SAVED  Chapter 4: Chemical bonding | 4.2 Ionic bonding
  p112/886  SAVED  Chapter 4: Chemical bonding | Dot-and-cross diagrams
  p113/886  SKIP  Page contains only an exercise question, no explanatory content.
  p114/886  SAVED  Chapter 4: Chemical bonding | 4.3 Covalent bonding
  p115/886  SAVED  Chapter 4: Chemical bonding | Covalent bonding and the octet rule
  p116/886  SAVED  Chapter 4: Chemical bonding | Expansion of the Octet
  p117/886  SAVED  Chapter 4: Chemical bonding | Multiple covalent bonds
  p118/886  SAVED  Chapter 4: Chemical bonding | Co-ordinate bonding (dative covalent bonding)
  p119/886  SAVED  Chapter 4: Chemical bonding | Bond length and bond energy
  p120/886  SKIP  (only 28 words)
  p121/886  SAVED  Chapter 4: Chemical bonding | 4.4 Shapes of molecules
  p122/886  SAVED  Chapter 4: Chemical bonding | VSEPR theory and molecular shapes
  p123/886  SAVED  Chapter 4: Chemical bonding | More molecular shapes
  p124/886  SAVED  Chapter 4: Chemical bonding | Molecular shapes (VSEPR theory)
  p125/886  SAVED  Chapter 4: Chemical bonding | 4.5 ? bonds and ? bonds
  p126/886  SAVED  Chapter 4: Chemical bonding | Shapes of organic molecules: ethane and ethene
  p127/886  SAVED  Chapter 4: Chemical bonding | Pi bonds and triple bonds
  p128/886  SAVED  Chapter 4: Chemical bonding | 4.6 Metallic bonding
  p129/886  SAVED  Chapter 4: Chemical bonding | Metallic bonding
  p130/886  SAVED  Chapter 4: Chemical bonding | 4.7 Intermolecular forces
  p131/886  SAVED  Chapter 4: Chemical bonding | Electronegativity and bond polarity
  p132/886  SAVED  Chapter 4: Chemical bonding | Polarity of molecules
  p133/886  SAVED  Chapter 4: Chemical bonding | Instantaneous dipole?induced dipole (id?id) forces
  p134/886  SAVED  Chapter 4: Chemical bonding | Instantaneous dipole?induced dipole forces
  p135/886  SAVED  Chapter 4: Chemical bonding | Permanent dipole?permanent dipole (pd?pd) forces
  p136/886  SAVED  Chapter 4: Chemical bonding | Permanent dipole?permanent dipole forces
  p137/886  SAVED  Chapter 4: Chemical bonding | 4.8 Hydrogen bonding
  p138/886  SAVED  Chapter 4: Chemical bonding | Hydrogen bonding and boiling points
  p139/886  SAVED  Chapter 4: Chemical bonding | The peculiar properties of water
  p140/886  SAVED  Chapter 4: Chemical bonding | Hydrogen bonding and properties of water
  p141/886  SAVED  Chapter 4: Chemical bonding | 4.9 Bonding and physical properties
  p142/886  SAVED  Chapter 4: Chemical bonding | 
  p143/886  SKIP  Page contains practice questions and reflection activity, no new teaching content.
  p144/886  SKIP  Page contains a summary of multiple topics from Chapter 4, not a single teachable concept suitable for a focused teaching unit.
  p145/886  SKIP  Page contains only exam-style questions, no new teaching content.
  p146/886  SKIP  The page contains only exam-style questions without explanatory content or answers.
  p147/886  SAVED  Chapter 4: Chemical bonding | Ionic vs Covalent Bonding
  p148/886  SAVED  Chapter 4: Chemical bonding | Hydrogen bonding and sigma/pi bonds
  p149/886  SKIP  This page contains a self-evaluation checklist with learning objectives, not new teachable content.
  p150/886  SKIP  The page contains only learning objectives and subtopic references, not detailed content for teaching.
  p151/886  SKIP  Page only lists learning intentions (chapter objectives) without any explanatory content or teaching material.
  p152/886  SAVED  Chapter 5: States of matter | Liquid crystals: the fourth state of matter?
  p153/886  SAVED  Chapter 5: States of matter | 
  p154/886  SAVED  Chapter 5: States of matter | 5.1 States of matter
  p155/886  SAVED  Chapter 5: States of matter | 5.2 The gaseous state
  p156/886  SAVED  Chapter 5: States of matter | Gas laws
  p157/886  SAVED  Chapter 5: States of matter | Limitations of the ideal gas laws
  p158/886  SAVED  Chapter 5: States of matter | The ideal gas equation
  p159/886  SAVED  Chapter 5: States of matter | Calculating relative molecular masses
  p160/886  SAVED  Chapter 5: States of matter | 
  p161/886  SKIP  (only 4 words)
  p162/886  SAVED  Chapter 5: States of matter | 5.3 The liquid state
  p163/886  SAVED  Chapter 5: States of matter | Vapour pressure and dynamic equilibrium
  p164/886  SAVED  Chapter 5: States of matter | 5.4 The solid state
  p165/886  SAVED  Chapter 5: States of matter | Metallic lattices
  p166/886  SAVED  Chapter 5: States of matter | Alloys and their properties
  p167/886  SAVED  Chapter 5: States of matter | Giant molecular structures
  p168/886  SAVED  Chapter 5: States of matter | Allotropes of carbon
  p169/886  SAVED  Chapter 5: States of matter | Giant Covalent Structures
  p170/886  SKIP  Page contains only practice questions and a cautionary note, no new teaching content.
  p171/886  SAVED  Chapter 5: States of matter | 5.5 Fullerenes
  p172/886  SAVED  Chapter 5: States of matter | Carbon allotropes: nanotubes and graphene
  p173/886  SAVED  Chapter 5: States of matter | Allotropes of Carbon: Graphene and Buckminsterfullerene
  p174/886  SAVED  Chapter 5: States of matter | Summary
  p175/886  SKIP  Page contains only exam-style questions, no instructional content.
