Processing: C:\Users\Yong\Downloads\Learnova A Levels\AL- FURTHER MATHEMATICS.pdf
Subject: AL-FurtherMaths  Form: AS-A2  Pages: 10-211 of 211
------------------------------------------------------------
  p 10/211  SKIP  Page contains syllabus overview and exam structure, not teachable mathematical content.
  p 11/211  SKIP  Page contains only prior knowledge prerequisites and command word definitions, not a teachable concept.
  p 12/211  SKIP  Page contains only a general overview of key concepts (problem solving, communication, mathematical modelling) with no specific mathematical content to teach.
  p 13/211  SKIP  Chapter opening page with introductory figure and questions, no formal mathematical content.
  p 14/211  SAVED  Chapter 1: Matrices and Transformations | 1.1 Matrices
  p 15/211  SAVED  Chapter 1: Matrices | Special matrices
  p 16/211  SAVED  Chapter 1: Transformations and Matrices | Associativity and commutativity
  p 17/211  SAVED  Chapter 1: Matrices | Matrix addition and scalar multiplication
  p 18/211  SKIP  Page contains only exercises with garbled formatting, no clear teachable content or concept explanation.
  p 19/211  SAVED  Bab 1: Matrices | 1.2 Multiplication of matrices
  p 20/211  SAVED  Bab 1: Matrices and Transformations | Matrix Multiplication
  p 21/211  SAVED  Chapter 1: Matrices | 1.2 Multiplication of matrices
  p 22/211  SAVED  Chapter 1: Matrices | Properties of matrix multiplication
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-FurtherMaths, AS-A2, Chapter 1: Matrices, Matrix Multiplication) already exists.","hint":null,"message":"duplicate key value vi
  p 23/211  DB-ERR  Chapter 1: Matrices | Multiplication of matrices
  p 24/211  SKIP  Page contains only exercises and no explanatory content for a teaching unit.
  p 25/211  SAVED  Chapter 1: Matrices | Multiplication of matrices
  p 26/211  SAVED  Bab 1: Matrices and Transformations | 1.3 Transformations
  p 27/211  SAVED  Chapter 1: Vectors and Transformations | Finding the transformation represented by a given matrix
  p 28/211  SAVED  Chapter 1: Transformations and Matrices | Linear Transformations Using Matrices
  p 29/211  SAVED  Chapter 1: Transformations | 1.3 Finding the matrix that represents a given transformation
  p 30/211  SAVED  Chapter 1: Transformations and Matrices | Representing Transformations with Matrices
  p 31/211  SAVED  Chapter 1: Matrices and Transformations | Rotation about the origin
  p 32/211  SAVED  Chapter 1: Matrices and Transformations | Shear Transformations
  p 33/211  SAVED  Chapter 1: Transformations | 1.3 Transformations
  p 34/211  SAVED  Chapter 1: Matrices and Transformations | Shear Transformations
  p 35/211  SAVED  Chapter 1: Transformations | Shear transformations
  p 36/211  SAVED  Chapter 1: Transformations and Matrices | Summary of transformations in two dimensions
  p 37/211  SKIP  Page contains only exercises, no new concept explanation or worked example.
  p 38/211  SKIP  The page contains only exercises (problems 5-9) without any conceptual explanation or worked example, so it does not provide teachable content.
  p 39/211  SAVED  Chapter 1: Matrices and Transformations | 1.4 Successive transformations
  p 40/211  SAVED  Chapter 1: Matrices and Transformations | Composite Transformations
  p 41/211  SAVED  Chapter 1: Matrices and Transformations | Proving Compound Angle Formulas with Rotation Matrices
  p 42/211  SAVED  Chapter 1: Transformations and Matrices | Combining Rotations
  p 43/211  SAVED  Bab 1: Matrices and Transformations | 1.4 Successive Transformations
  p 44/211  SAVED  Chapter 1: Matrices and Transformations | Solving Matrix Equations for Transformations
  p 45/211  SAVED  Chapter 1: Matrices and Transformations | 1.5 Invariance
  p 46/211  SAVED  Chapter 1: Transformations and Matrices | Invariant lines
  p 47/211  SAVED  Bab 1: Matrices and Transformations | Invariant lines
  p 48/211  SAVED  Bab 1: Transformations and Matrices | 
  p 49/211  SAVED  Bab 1: Matrices and Transformations | Invariant Points
  p 50/211  SAVED  Chapter 6: Matrices and Transformations | Matrix Multiplication and Properties
  p 51/211  SKIP  Page contains only learning outcomes (chapter objectives) with no substantive mathematical content to teach.
  p 52/211  SKIP  The page is a chapter opener with a motivational quote and an introductory question, lacking any mathematical definitions, proofs, or worked examples to teach.
  p 53/211  SAVED  Chapter 2: Sequences and Series | 2.1 Sequences and series
  p 54/211  SAVED  Chapter 6: Sequences and Series | Inductive and Deductive Definitions; Sum of an Arithmetic Series
  p 55/211  SAVED  Chapter 2: Sequences and Series | Summation of series
  p 56/211  SAVED  Chapter 6: Matrices and | 
  p 57/211  SKIP  Page contains only exercise problems for sequences and series, with no explanatory content or concept teaching.
  p 58/211  SKIP  Page contains only practice exercises (questions 7-11) and no new concept explanation or worked example.
  p 59/211  SAVED  Chapter 2: Series | Using standard results
  p 60/211  SAVED  Chapter 2: Induction and Series | Series and Sigma Notation
  p 61/211  SKIP  The page contains only exercise problems (M9 and M10) without any new concept explanations, worked examples, or definitions. It is an exercise section, not a teaching unit.
  p 62/211  SAVED  Chapter 2: Induction and Series | 2.3 The method of differences
  p 63/211  SAVED  Chapter 6: Matrices and Invariant Lines | 2.3 The method of differences
  p 64/211  SAVED  Chapter 2: Induction and Series | Method of Differences
  p 65/211  SAVED  Chapter 6: Series | 
