Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Physics\Physics\Cambridge International AS _ A Level Physics Coursebook with Digital Access (2 Years) - Cambridge University Press (2021).pdf
Subject: AL-Physics  Form: AS-A2  Pages: 10-907 of 907
------------------------------------------------------------
  p 10/907  SKIP  The page contains only introductory instructions on how to use the book, no physics content.
  p 11/907  SKIP  No teachable content; only book structure/features.
  p 12/907  SKIP  (only 19 words)
  p 13/907  SKIP  Page contains introduction and learning objectives only, no core content explanation.
  p 14/907  SKIP  (only 33 words)
  p 15/907  SAVED  Chapter 1: Kinematics: describing motion | 1.1 Speed
  p 16/907  SAVED  Chapter 1: Kinematics: describing motion | Determining speed
  p 17/907  SAVED  Chapter 1: Kinematics: describing motion | Measuring speed
  p 18/907  SAVED  Chapter 1: Kinematics: describing motion | Methods for determining speed
  p 19/907  SAVED  Chapter 1: Kinematics: describing motion | 1.2 Distance and displacement, scalar and vector
  p 20/907  SAVED  Chapter 1: Kinematics: describing motion | 1.3 Speed and velocity
  p 21/907  SAVED  Chapter 1: Kinematics: describing motion | 
  p 22/907  SKIP  Page contains only questions, no explanatory content to structure into a teaching unit.
  p 23/907  SAVED  Chapter 1: Kinematics: describing motion | 1.4 Displacement?time graphs
  p 24/907  SKIP  Page contains only questions and figure references, no explanatory content.
  p 25/907  SAVED  Chapter 1: Kinematics: describing motion | Distance?time graphs and speed
  p 26/907  SAVED  Chapter 1: Kinematics: describing motion | 1.5 Combining displacements
  p 27/907  SAVED  Chapter 1: Kinematics: describing motion | Adding vectors
  p 28/907  SAVED  Chapter 1: Kinematics: describing motion | Vector addition
  p 29/907  SAVED  Chapter 1: Kinematics: describing motion | 1.6 Combining velocities
  p 30/907  SAVED  Chapter 1: Kinematics: describing motion | Vector addition of velocities
  p 31/907  SAVED  Chapter 1: Kinematics: describing motion | 1.7 Subtracting vectors
  p 32/907  SAVED  Chapter 1: Kinematics: describing motion | 1.8 Other examples of scalar and vector quantities
  p 33/907  SAVED  Chapter 1: Kinematics: describing motion | 
  p 34/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p 35/907  SKIP  Page contains end-of-chapter questions only, no new concept explanation.
  p 36/907  SKIP  Page contains only an exercise problem, no explanatory content.
  p 37/907  SKIP  Page is a self-evaluation checklist, not a content page with explanations or worked examples.
  p 38/907  SKIP  This page is the chapter introduction with learning intentions and motivational content, not a specific teachable concept.
  p 39/907  SKIP  (only 15 words)
  p 40/907  SAVED  Chapter 2: Accelerated motion | 2.1 The meaning of acceleration
  p 41/907  SAVED  Chapter 2: Accelerated motion | 2.2 Calculating acceleration
  p 42/907  SAVED  Chapter 2: Accelerated motion | 2.3 Units of acceleration
  p 43/907  SKIP  (only 0 words)
  p 44/907  SAVED  Chapter 2: Accelerated motion | 2.4 Deducing acceleration
  p 45/907  SKIP  (only 8 words)
  p 46/907  SAVED  Chapter 2: Accelerated motion | 2.5 Deducing displacement
  p 47/907  SAVED  Chapter 2: Accelerated motion | Velocity?time graphs
  p 48/907  SAVED  Chapter 2: Accelerated motion | 2.6 Measuring velocity and acceleration
  p 49/907  SAVED  Chapter 2: Accelerated motion | 2.7
  p 50/907  SAVED  Chapter 2: Accelerated motion | Determining acceleration from ticker-tape
  p 51/907  SAVED  Chapter 2: Accelerated motion | Measuring acceleration using ticker-tape
  p 52/907  SAVED  Chapter 2: Accelerated motion | 2.8 The equations of motion
  p 53/907  SAVED  Chapter 2: Accelerated motion | 
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Physics, AS-A2, Chapter 2: Accelerated motion, Using Equations of Motion) already exists.","hint":null,"message":"duplicate key
  p 54/907  DB-ERR  Chapter 2: Accelerated motion | Solving problems with constant acceleration
  p 55/907  SAVED  Chapter 2: Accelerated motion | 
  p 56/907  SAVED  Chapter 2: Accelerated motion | 2.9 Deriving the equations of motion
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Physics, AS-A2, Chapter 2: Accelerated motion, Deriving equations of motion) already exists.","hint":null,"message":"duplicate 
  p 57/907  DB-ERR  Chapter 2: Accelerated motion | 
  p 58/907  SAVED  Chapter 2: Accelerated motion | Skid marks and stopping distances
  p 59/907  SAVED  Chapter 2: Accelerated motion | 2.10 Uniform and nonuniform acceleration
  p 60/907  SKIP  Page contains only an exercise question without explanation or worked solution.
  p 61/907  SAVED  Chapter 2: Accelerated motion | 2.11 Acceleration caused by gravity
  p 62/907  SAVED  Chapter 2: Accelerated motion | Free fall under gravity
  p 63/907  SAVED  Chapter 2: Accelerated motion | 2.12 Determining g
  p 64/907  SAVED  Chapter 2: Accelerated motion | Determining the acceleration of free fall
  p 65/907  SAVED  Chapter 2: Accelerated motion | 
  p 66/907  SAVED  Chapter 2: Accelerated motion | Acceleration of free fall
  p 67/907  SAVED  Chapter 2: Accelerated motion | Free Fall Experiments
  p 68/907  SAVED  Chapter 2: Accelerated motion | 2.13 Motion in two dimensions: projectiles
  p 69/907  SAVED  Chapter 2: Accelerated motion | Vector components
  p 70/907  SAVED  Chapter 2: Accelerated motion | 2.14 Understanding projectiles
  p 71/907  SAVED  Chapter 2: Accelerated motion | Vertical and horizontal at the same time
  p 72/907  SAVED  Chapter 2: Accelerated motion | Projectile motion
  p 73/907  SAVED  Chapter 2: Accelerated motion | Projectile motion
  p 74/907  SAVED  Chapter 2: Accelerated motion | 
  p 75/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p 76/907  SKIP  Page contains only end-of-chapter questions, no explanatory content.
  p 77/907  SAVED  Chapter 2: Accelerated motion | Projectile motion
  p 78/907  SKIP  Page contains only exam practice questions, no new teaching content.
  p 79/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p 80/907  SKIP  (only 2 words)
  p 81/907  SKIP  Page is a self-evaluation checklist, no teachable content.
  p 82/907  SKIP  Page contains only learning intentions and introductory material; no substantive teaching content.
  p 83/907  SKIP  Page contains only introductory text and a question, no specific teaching content.
  p 84/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.1 Force, mass and acceleration
  p 85/907  SAVED  Chapter 3: Dynamics: explaining motion | 
  p 86/907  SAVED  Chapter 3: Dynamics: explaining motion | Newton's second law of motion
  p 87/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.2 Identifying forces
  p 88/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.3 Weight, friction and gravity
  p 89/907  SAVED  Chapter 3: Dynamics: explaining motion | Weight and acceleration due to gravity
  p 90/907  SAVED  Chapter 3: Dynamics: explaining motion | Mass and weight
  p 91/907  SKIP  (only 38 words)
  p 92/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.4 Mass and inertia
  p 93/907  SAVED  Chapter 3: Dynamics: explaining motion | Newton's first law of motion
  p 94/907  SAVED  Chapter 3: Dynamics: explaining motion | Terminal velocity
  p 95/907  SAVED  Chapter 3: Dynamics: explaining motion | Terminal velocity
  p 96/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.5 Moving through fluids
  p 97/907  SAVED  Chapter 3: Dynamics: explaining motion | Forces and acceleration
  p 98/907  SAVED  Chapter 3: Dynamics: explaining motion | Contact forces and upthrust
  p 99/907  SAVED  Chapter 3: Dynamics: explaining motion | Forces and Motion
  p100/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.6 Newton's third law of motion
  p101/907  SAVED  Chapter 3: Dynamics: explaining motion | Newton's third law
  p102/907  SAVED  Chapter 3: Dynamics: explaining motion | 3.7 Understanding SI units
  p103/907  SAVED  Chapter 3: Dynamics: explaining motion | 
  p104/907  SAVED  Chapter 3: Dynamics | Prefixes and Unit Conversions
  p105/907  SKIP  (only 21 words)
  p106/907  SAVED  Chapter 3: Dynamics: explaining motion | 
  p107/907  SKIP  Page contains only exam-style questions, no explanatory content for a teaching unit.
  p108/907  SKIP  Page contains only practice questions, no explanatory content.
  p109/907  SKIP  Page contains only exam questions, not explanatory content suitable for a teaching unit.
  p110/907  SKIP  This page contains a self-evaluation checklist, not new teachable content or explanations for the chapter.
  p111/907  SKIP  Page contains only learning intentions and motivational introduction; no substantive content to structure as a teaching unit.
  p112/907  SKIP  (only 6 words)
  p113/907  SAVED  Chapter 4: Forces | 4.1 Combining forces
  p114/907  SAVED  Chapter 3: Forces in a Straight Line | Two forces at right angles
  p115/907  SAVED  Chapter 4: Forces | Triangle of Forces and Equilibrium
  p116/907  SKIP  No explanatory content; only a problem question without force values.
  p117/907  SAVED  Chapter 4: Forces | 4.2 Components of vectors
  p118/907  SAVED  Chapter 3: Dynamics | Resolving forces on an inclined plane
  p119/907  SAVED  Chapter 3: of two forces acting in a straight line | Solving problems by resolving forces
  p120/907  SAVED  Chapter 3: Forces | Forces on an inclined plane
  p121/907  SAVED  Chapter 4: Forces | 4.3 Centre of gravity
  p122/907  SAVED  Chapter 3: Forces and Equilibrium | Centre of Gravity
  p123/907  SAVED  Chapter 4: Forces | 4.4 The turning effect of a force
