Processing: C:\Users\Yong\Downloads\Learnova Malaysia\Form 4\MY- F4 BAHASA MELAYU.pdf
Subject: MY-BahasaMalaysia  Form: 4  Pages: 8-78 of 78
------------------------------------------------------------
  p  8/78  SKIP  Halaman ini ialah jadual kandungan atau senarai tema, bukan kandungan pengajaran yang boleh diajar.
  p  9/78  SKIP  Halaman ini adalah pendahuluan buku teks yang menerangkan ciri dan struktur buku, bukan kandungan pengajaran spesifik seperti tatabahasa, sastera, atau kemahiran bahasa.
  p 10/78  SKIP  Halaman ini hanya menerangkan struktur buku dan ikon, bukan kandungan pembelajaran Bahasa Malaysia.
  p 11/78  SKIP  Halaman ini hanya mengandungi penerangan struktur bab dan aktiviti pembelajaran, bukan kandungan pengajaran spesifik.
  p 12/78  SKIP  Halaman ini mengandungi penerangan tentang struktur modul dan aktiviti pemulihan, pengukuhan, pengayaan, bukan kandungan bahasa Malaysia yang boleh diajar.
  p 13/78  SKIP  Halaman ini hanya mengandungi penerangan tentang ciri-ciri buku teks (QR Code, Penilaian, Bacaan Luas, AR Code) dan tidak mengandungi kandungan Bahasa Malaysia yang boleh diajar.
  p 14/78  SKIP  Halaman ini mengandungi peta kandungan sahaja, bukan bahan pengajaran.
  p 15/78  SKIP  Halaman hanya mengandungi jadual standard kandungan dan rujukan halaman, bukan kandungan pengajaran.
  p 16/78  SKIP  Halaman ini hanya mengandungi senarai standard kandungan dan halaman rujukan, tanpa kandungan pengajaran yang boleh diajar.
  p 17/78  SKIP  Halaman ini mengandungi panduan pedagogi umum (Pembelajaran Berasaskan Inkuiri) dan bukan kandungan Bahasa Malaysia yang boleh diajar secara langsung dalam sukatan SPM.
  p 18/78  SKIP  Halaman ini mengandungi penerangan tentang Pembelajaran Berasaskan Projek yang bersifat pedagogi umum, bukan kandungan Bahasa Malaysia yang boleh diajar seperti tatabahasa, sastera, atau kemahiran bahasa.
  p 19/78  SKIP  Halaman ini menerangkan kaedah pembelajaran berasaskan masalah, bukan kandungan bahasa Malaysia yang boleh diajar untuk SPM.
  p 20/78  SAVED  Bab 1: Teknik Bacaan | KWLH dan CHATT
  p 21/78  SAVED  Bab 1: Kemahiran Membaca | Teknik Membaca Aktif
  p 22/78  SAVED  Bab 1: Kemahiran Membaca | Teknik Membaca SQ4R, Preview, dan ReQuest
  p 23/78  SAVED  Bab 1: Merealisasikan Impian | Sukan dan Jati Diri
  p 24/78  SAVED  Bab 1: Kitalah Juara! | Sorak-sorai dan Sebutan
  p 25/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Sorak-sorai dan Sebutan Ungkapan
  p 26/78  SAVED  Bab 1: Menawan Samudera | Syarahan: Kepentingan Sukan Air
  p 27/78  SAVED  Bab 1: Kemahiran Membaca dan Tatabahasa | 
  p 28/78  SAVED  Bab 1: Sukan dan Kerjaya | E-Sukan
  p 29/78  SAVED  Bab 1: E-Sukan | Wawancara dengan Atlet E-Sukan
  p 30/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Kursus Asas Berenang
  p 31/78  SKIP  Halaman ini mengandungi kandungan sukan (renang) dan tidak berkaitan dengan pengajaran Bahasa Malaysia (tatabahasa, sastera, atau kemahiran bahasa).
  p 32/78  SAVED  Bab 1: Drama | Skrip Drama: Bukan Halangan
  p 33/78  SAVED  Bab 1: Impian Merealisasikan | Skrip Drama
  p 34/78  SAVED  Bab 1 | Menyusuri Pulau Inspirasi
  p 35/78  SAVED  Bab 1: Tema Impian | Penulisan Deskriptif
  p 36/78  SAVED  Bab 1: Pendidikan dan Ilmu | 
  p 37/78  SKIP  (only 1 words)
  p 38/78  SAVED  Bab 1: Makanan untuk Sejahtera Negara | 
  p 39/78  SAVED  Bab 1 | Vitamin untuk Minda
  p 40/78  SAVED  Bab 1: Bahasa Melayu di Persada Dunia | Pengajaran Bahasa Melayu di Jepun
  p 41/78  SAVED  Bab 1: Bahasa Melayu di Persada Dunia | Bahasa Melayu Mekar di Bumi Uzbekistan
  p 42/78  SAVED  Bab 1: Sejahtera Negara Terdidik Insan | Evolusi Pembelajaran Sepanjang Hayat
  p 43/78  SAVED  Bab 1: Pendidikan Tanpa Batasan | Pendidikan Inklusif di Malaysia
  p 44/78  SAVED  Bab 1: Malaysia Membaca | Kuala Lumpur Kota Buku Dunia
  p 45/78  SAVED  Bab 1 | Kepelbagaian Budaya dan Pemuliharaan Alam Sekitar
  p 46/78  SAVED  Bab 1: Kemahiran Lisan ? Pidato dan Kata Terbitan | Membaca dan Memahami Teks Pidato
  p 47/78  SAVED  Bab 1 | 
  p 48/78  SAVED  Bab 1: Sejahtera Negara Terdidik, Insan | 
  p 49/78  SAVED  Bab 1: Kemahiran Bahasa dan Sastera | Memetik Bintang
  p 50/78  SAVED  Bab 1: Kerjaya Impian | Kerjaya di Awan Biru
  p 51/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | 1.2.1 Mendengar dan Memberikan Respons dengan Mengutamakan Aspek Kejelasan, Nada, dan Kefasihan
  p 52/78  SAVED  Bab 1: Kemahiran Membaca dan Menulis | Membaca Bahan Bukan Fiksyen: Mencari dan Menganalisis Maklumat
  p 53/78  SAVED  Bab 1: Kemahiran Membaca | Membaca dan Memahami Maklumat Tersurat dan Tersirat
  p 54/78  SAVED  Bab 1: Media dan Animasi | Daripada Kartun kepada Animasi
  p 55/78  SAVED  Bab 1: Kemahiran Menulis | Menulis untuk Meramal
  p 56/78  SAVED  Bab 1: Menjulang Potensi Diri | Hiasi Peribadi, Yakini Diri
  p 57/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Temu Duga
  p 58/78  SAVED  Bab 1: Kerjaya | Penggunaan Akronim dalam Teks
  p 59/78  SAVED  Bab 1: Alam Kerjaya Terbentang Luas | 
  p 60/78  SAVED  Bab 1: Kerjaya dan Pekerjaan | 
  p 61/78  SAVED  Bab 1: Kemahiran Membaca dan Menganalisis Maklumat | Menganalisis Maklumat Tersurat dan Tersirat
  p 62/78  SAVED  Bab 1: Sukan dan Kesihatan | Kebaikan Sukan dan Ikon Sukan Negara
  p 63/78  SAVED  Bab 1: Sukan dan Kecemerlangan | Pemahaman Teks dan Kosa Kata
  p 64/78  SKIP  Halaman hanya mengandungi jadual acara dan soalan latihan, tiada penerangan konsep bahasa yang boleh diajar.
  p 65/78  SKIP  Halaman hanya mengandungi pantun dan tiga soalan perbincangan tanpa penerangan konsep atau contoh pengajaran.
  p 66/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Mendengar dan Menyusun Fakta
  p 67/78  SAVED  Bab 1: Bertuah Bumi di Harapan Menjulang | 1.3.1 Mendengar, menyebut semula dan menyusun fakta serta hujah
  p 68/78  SAVED  Bab 1 | Membaca dan Memahami Maklumat
  p 69/78  SAVED  Bab 1: Penternakan Udang Harimau | Pengeluaran Udang Harimau dari Kolam Air Payau/Masin
  p 70/78  SAVED  Bab 1: Drama | Arnab, Si Pencuri Hati
  p 71/78  SAVED  Bab 1: Kemahiran Berbahasa | Perbincangan dalam Kumpulan
  p 72/78  SAVED  Bab 1: Kemahiran Mendengar dan Bertutur | Gurindam ? Mendengar, Mendendang, dan Mencipta
  p 73/78  SAVED  Bab 1 | Gurindam Hati Waja
  p 74/78  SAVED  Bab 1 | Menulis Kertas Cadangan Projek Penternakan
  p 75/78  SAVED  Bab 1: Kemahiran Menulis | 3.3.1 Menulis dan melengkapkan maklumat dalam kertas cadangan
  p 76/78  SKIP  Halaman mengandungi aktiviti teka silang kata tanpa penerangan konsep yang boleh diajar.
  p 77/78  SAVED  Bab 1 | Maklumat Tersurat dan Tersirat
  p 78/78  SAVED  Bab 1: Kata Nama | Kata Nama: Pengelasan dan Penggunaan dalam Ayat
------------------------------------------------------------
DONE: 54 saved, 17 skipped, 0 errors
Backup: C:\Learnova\MY-BahasaMalaysia_F4_results.json
DONE: 54 saved, 17 skipped, 0 errors
