Processing: C:\Users\Yong\Downloads\biology form 5.pdf
Subject: MY-Biology  Form: 5  Pages: 11-291 of 291
------------------------------------------------------------
  p 11/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | Pertumbuhan Sekunder pada Batang
  p 12/291  SAVED  Bab 1: Pertumbuhan dan Perkembangan | Pertumbuhan Sekunder pada Akar
  p 13/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | Pertumbuhan Sekunder Tumbuhan Monokot
  p 14/291  SAVED  Bab 1: Pertumbuhan | 1.2 Kepentingan Pertumbuhan Primer dan Pertumbuhan Sekunder; 1.3 Tumbuhan Monokot dengan Pertumbuhan Sekunder Anomali
  p 15/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | Perbandingan antara Pertumbuhan Primer dengan Pertumbuhan Sekunder dalam Tumbuhan Eudikot
  p 16/291  SAVED  Bab 1: Tumbuhan dan Pertumbuhan | Kepentingan Tumbuhan yang Mengalami Pertumbuhan Sekunder dari Segi Ekonomi
  p 17/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | 1.3 Lengkung Pertumbuhan
  p 18/291  SAVED  Bab 1: Pertumbuhan dan Perkembangan | 1.3.1 Tumbuhan Dwimusim dan Tumbuhan Saka
  p 19/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | Lengkung Pertumbuhan dalam Tumbuhan
  p 20/291  SAVED  Bab 1: Pertumbuhan | 1.1 Bentuk Lengkung Pertumbuhan dalam Tumbuhan
  p 21/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | 1.2 Kesan Bunyi terhadap Pertumbuhan dalam Tumbuhan
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Biology, 5, Bab 1: Pertumbuhan, Pertumbuhan Primer dan Sekunder) already exists.","hint":null,"message":"duplicate key value vi
  p 22/291  DB-ERR  Bab 1: Pertumbuhan | Pertumbuhan Primer dan Sekunder
  p 23/291  SKIP  Page is a self-reflection checklist and practice question, no new teachable Biology content.
  p 24/291  SAVED  Bab 1: Pertumbuhan dan Perkembangan | Zon Pertumbuhan pada Pucuk Eudikot
  p 25/291  SAVED  Bab 1: Organisasi Tisu Tumbuhan dan Pertumbuhan | Pertumbuhan Sekunder
  p 26/291  SKIP  Page is a chapter introduction with no detailed biology content.
  p 27/291  SAVED  Bab 1: Struktur dan Fungsi Daun | Perubahan Warna Daun di Negara Empat Musim
  p 28/291  SAVED  Bab 1 | Struktur Daun
  p 29/291  SAVED  Bab 2: Nutrisi | Struktur Dalaman Lamina Daun
  p 30/291  SAVED  Bab 1: Tumbuhan | 2.1
  p 31/291  SAVED  Bab 1: Struktur dan Fungsi Daun | 2.2 Organ Utama Pertukaran Gas
  p 32/291  SAVED  Bab 1: Transport in Plants | 
  p 33/291  SAVED  Bab 1: Struktur dan Fungsi Daun | 2.2 Mekanisme Pembukaan dan Penutupan Stoma
  p 34/291  SAVED  Bab 1: Tisu Tumbuhan dan Organ | 
  p 35/291  SAVED  Bab 1 | Kesan Kekurangan Air dalam Tumbuhan Terhadap Pembukaan dan Penutupan Stoma
  p 36/291  SAVED  Bab 2: Transpirasi | 2.3 Keperluan Transpirasi dalam Tumbuhan
  p 37/291  SAVED  Bab 1: Struktur dan Fungsi Daun | Faktor Persekitaran yang Mempengaruhi Kadar Transpirasi
  p 38/291  SAVED  Bab 2: Transpirasi dan Pengambilan Air | 2.2 Kesan Faktor Persekitaran terhadap Kadar Transpirasi dengan Menggunakan Potometer
  p 39/291  SAVED  Bab 1 | Faktor yang Mempengaruhi Transpirasi
  p 40/291  SAVED  Bab 2: Nutrisi | 2.4 Keperluan Fotosintesis dalam Tumbuhan
  p 41/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Struktur dan Fungsi Daun
  p 42/291  SAVED  Bab 1: Fotosintesis | Struktur Kloroplas
  p 43/291  SAVED  Bab 1: Struktur dan Fungsi Daun | Struktur dan Fungsi Daun
  p 44/291  SAVED  Bab 2: Fotosintesis | Tindak Balas Bersandarkan Cahaya dan Tindak Balas Tidak Bersandarkan Cahaya
  p 45/291  SAVED  Bab 1: Nutrisi | Struktur dan Fungsi Daun: Persamaan dan Perbezaan antara Tindak Balas Bersandarkan Cahaya dengan Tindak Balas Tidak Bersandarkan Cahaya
