Processing: C:\learnova_app\textbooks\F4 Chemistry.pdf
Subject: MY-Chemistry  Form: 4  Pages: 11-289 of 289
------------------------------------------------------------
  p 11/289  SKIP  Page contains only chapter introduction, keywords, and learning objectives; no substantive chemical concepts or explanations.
  p 12/289  SKIP  Halaman ini hanya mengandungi pengenalan umum tentang kimia dan nanokimia tanpa konsep atau contoh yang boleh diajar secara khusus untuk SPM.
  p 13/289  SAVED  Bab 1: Kepentingan Kimia | 1.1 Perkembangan Bidang Kimia dan Kepentingan dalam Kehidupan
  p 14/289  SAVED  Bab 1: Pengenalan kepada Kimia | Bahan Kimia dalam Kehidupan Harian
  p 15/289  SAVED  Bab 1: Kepentingan Kimia | Perkembangan Bidang Kimia dan Sumbangan Teknologi Kimia
  p 16/289  SKIP  Page contains only career examples and an activity, no teachable chemistry content.
  p 17/289  SAVED  Bab 1: Kerjaya Berkaitan dengan Bidang Kimia | 1.2 Penyiasatan Saintifik dalam Kimia
  p 18/289  SAVED  Bab 1: Kaedah Saintifik | 
  p 19/289  SAVED  Bab 1: Kaedah Saintifik | 1.1 Eksperimen: Kesan Suhu terhadap Keterlarutan Garam
  p 20/289  SAVED  Bab 1: Pengenalan kepada Kimia | 1.3 Penggunaan, Pengurusan dan Pengendalian Radas serta Bahan Kimia
  p 21/289  SAVED  Bab 1: Kepentingan Kimia | Alat Pelindung Diri dan Peralatan Keselamatan
  p 22/289  SAVED  Bab 1: Pengenalan kepada Kimia | Peralatan Keselamatan di dalam Makmal
  p 23/289  SAVED  Bab 1: Pancuran air (Shower) | Kaedah Pengurusan dan Pengendalian Radas serta Bahan Kimia
  p 24/289  SAVED  Bab 1: Penyimpanan Bahan Kimia | 
  p 25/289  SAVED  Bab 1: Penyimpanan Bahan Kimia | Pelupusan Bahan Kimia
  p 26/289  SAVED  Bab 1: Pengenalan kepada Kimia | Langkah Pengurusan Kemalangan di dalam Makmal
  p 27/289  SAVED  Bab 1: Sisa Bahan Kimia dan Radas | Pengurusan Tumpahan Bahan Kimia
  p 28/289  SKIP  Extracted text is a jumble of keywords from a diagram, not coherent teachable content.
  p 29/289  SKIP  Page contains only self-reflection and assessment questions, no new chemistry content.
  p 30/289  SKIP  Page contains only questions/exercises, no explanatory or teachable chemistry content.
  p 31/289  SKIP  Page is an introductory overview listing subtopics and keywords, with no detailed chemistry explanation or example.
  p 32/289  SAVED  Bab 2: Struktur Atom | 
  p 33/289  SAVED  Bab 2: Jirim dan Atom | 2.1 Konsep Asas Jirim
  p 34/289  SAVED  Bab 2: Jirim dan Struktur Atom | Saling Perubahan antara Keadaan Jirim
  p 35/289  SAVED  Bab 2: Saling Perubahan antara Keadaan Jirim | Pengelasan Jirim
  p 36/289  SKIP  The extracted text contains only diagram labels (thermometer, boiling tube) and numbers, with no explainable chemistry content or concept to teach.
  p 37/289  SAVED  Bab 2: Asas Kimia | Graf Suhu Melawan Masa bagi Pemanasan dan Penyejukan Naftalena
