Processing: C:\learnova_app\textbooks\F5 Sejarah 1.pdf
Subject: MY-Sejarah  Form: 5  Pages: 6-123 of 123
------------------------------------------------------------
  p  6/123  SKIP  Halaman hanya mengandungi senarai kandungan bab, bukan kandungan pengajaran.
  p  7/123  SKIP  Halaman hanya mengandungi senarai kandungan bab, bukan isi pelajaran.
  p  8/123  SKIP  Halaman ini mengandungi kata pengantar buku teks yang menerangkan struktur dan tema buku, bukan kandungan sejarah yang boleh diajar.
  p  9/123  SKIP  Halaman ini mengandungi panduan penggunaan buku, bukan kandungan Sejarah yang boleh diajar.
  p 10/123  SKIP  Halaman ini hanya mengandungi panduan penggunaan buku, bukan bahan pengajaran Sejarah.
  p 11/123  SKIP  Halaman ini hanya memaparkan senarai tajuk bab tanpa kandungan pengajaran.
  p 12/123  SAVED  Bab 1: Kedaulatan Negara | 
  p 13/123  SKIP  Halaman ini hanya mengandungi senarai objektif pembelajaran dan kemahiran, bukannya kandungan sejarah yang boleh diajar.
  p 14/123  SAVED  Bab 1: Negara | 1.1 Konsep Kedaulatan
  p 15/123  SAVED  Bab 1: Negara | Pandangan Tokoh tentang Kedaulatan
  p 16/123  SAVED  Bab 1: Warisan Negara Bangsa | Jenis Kedaulatan
  p 17/123  SAVED  Bab 1: Negara | Kedaulatan Undang-undang dan Kedaulatan Antarabangsa
  p 18/123  SAVED  Bab 1: Kedaulatan Negara | 1.2 Ciri Negara yang Berdaulat
  p 19/123  SAVED  Bab 1: Kedaulatan Negara | Ciri Negara Berdaulat
  p 20/123  SAVED  Bab 1: Negara Berdaulat | 1.3 Kepentingan Mewujudkan Negara Berdaulat
  p 21/123  SAVED  Bab 1: Negara | Kepentingan Kedaulatan
  p 22/123  SAVED  Bab 1: Kedaulatan Negara | 1.4 Langkah Mempertahankan Kedaulatan
  p 23/123  SAVED  Bab 1: Negara | Mengekalkan Perpaduan Kaum
  p 24/123  SAVED  Bab 1: BAB NEGARA | Memupuk Patriotisme
